iter	MAE	RMSE
428	0.5943977629	0.8798872772
429	0.5943777161	0.8798664802
430	0.5943410785	0.8798154013
431	0.5943478275	0.8798099341
432	0.5943473648	0.8798077246
433	0.5942959858	0.8797565249
434	0.5942401362	0.8796786549
435	0.5941750038	0.8795809902
436	0.5941458929	0.879528115
437	0.5941063976	0.8794724848
438	0.5941085657	0.8794722903
439	0.5940981116	0.879462793
440	0.5940256683	0.8793767005
441	0.593990887	0.8793273402
442	0.5939590079	0.8792882471
443	0.5939056817	0.8792302657
444	0.593863708	0.8791731303
445	0.5938122378	0.8790932282
446	0.5938045946	0.87907781
447	0.5938050544	0.8790768482
448	0.5937813451	0.8790281416
449	0.5937564915	0.8789964976
450	0.593717587	0.8789406751
451	0.5936921662	0.8789057081
452	0.5936852668	0.8788970376
453	0.5936710909	0.8788760784
454	0.5936212578	0.8788038089
455	0.5936143734	0.8787953935
456	0.5936157895	0.8787919572
457	0.5935647839	0.8787183437
458	0.5935219817	0.8786594784
459	0.5934866152	0.8786130185
460	0.5934713577	0.8785777379
461	0.5934814029	0.8785765596
462	0.5934721362	0.878569646
463	0.5934271318	0.8785106635
464	0.5933871612	0.8784653076
465	0.5933302932	0.8783962531
466	0.5933268729	0.8783866728
467	0.5932554466	0.8782943942
468	0.593256272	0.8782918328
469	0.5932179766	0.8782372538
470	0.5931460115	0.8781438162
471	0.5931340977	0.8781213378
472	0.5931038939	0.8780859514
473	0.5930713047	0.8780284512
474	0.5930442587	0.8779993892
475	0.5930042631	0.8779527372
476	0.5929750184	0.8779188591
477	0.5929764646	0.8779131549
478	0.5929614571	0.8778937808
479	0.5929534547	0.8778808982
480	0.5929113441	0.8778205071
481	0.5928815	0.8777693573
482	0.5928763818	0.8777556687
483	0.5928735411	0.8777485626
484	0.5928342691	0.8777022274
485	0.5928383344	0.8776987383
486	0.5928398587	0.8776982167
487	0.5927860367	0.8776315983
488	0.5927302846	0.8775437526
489	0.5927296693	0.8775398041
490	0.5927266888	0.8775333896
491	0.5927064167	0.8774966298
492	0.5926915418	0.8774661277
493	0.5926543034	0.8774154966
494	0.5926058312	0.8773198956
495	0.5926038368	0.8773179621
496	0.5925463987	0.8772329129
497	0.5925167894	0.8771974201
498	0.5925020995	0.8771698876
499	0.5924986678	0.8771675163
500	0.5924901881	0.8771607181
501	0.5924711041	0.8771303487
502	0.5924680397	0.8771278902
503	0.5924362001	0.8770897119
504	0.5924356243	0.877089109
505	0.5923840966	0.8770104432
506	0.5923587207	0.8769736728
507	0.5923143947	0.876894978
508	0.5923122233	0.876893906
509	0.5923114226	0.8768919651
510	0.5922995659	0.876872919
511	0.5922391902	0.8767796358
512	0.5921980596	0.8767341393
513	0.5921442501	0.8766396949
514	0.5921429532	0.8766378585
515	0.592144308	0.8766357394
516	0.5921350079	0.876630202
517	0.5921013758	0.876583194
518	0.5920456498	0.8765263959
519	0.5920436838	0.8765220874
520	0.5919971175	0.8764606485
521	0.5919863011	0.876442209
522	0.5919895776	0.8764417372
523	0.5919727612	0.8764023112
524	0.591869932	0.8763763444
525	0.5918431416	0.876348998
526	0.5918039048	0.8762994491
